선수명,생년월일,신장/체중,입단계약금,지명순위,등번호,포지션,경력,연봉,입단년도,playerId,type,날짜,상대팀,출장구분,결과,ERA,TBF,IP,H,HR,BB,HBP
임찬규,1992년 11월 20일,185cm/80kg,,11 LG 1라운드 2순위,1,투수(우투우타),,20000만원,,61101,info,,,,,,,,,,,
임찬규,,,,,,,,,,61101,daily,03.26,한화,선발,승,0.00,30,9,2,0,2,0
임찬규,,,,,,,,,,61101,daily,04.03,KT,선발,승,1.59,25,5 2/3,7,0,3,0
임찬규,,,,,,,,,,61101,daily,04.10,키움,선발,승,1.29,26,7,5,1,0,0
임찬규,,,,,,,,,,61101,daily,04.16,삼성,선발,승,3.00,26,6,7,0,1,0
임찬규,,,,,,,,,,61101,daily,04.22,NC,선발,,6.00,28,6,8,1,2,0
임찬규,,,,,,,,,,61101,daily,04.27,KIA,선발,패,4.50,25,6,7,1,1,0
임찬규,,,,,,,,,,61101,daily,05.03,SSG,선발,승,1.50,22,6,4,0,3,0
임찬규,,,,,,,,,,61101,daily,05.10,삼성,선발,승,0.00,25,6,2,0,5,0
임찬규,,,,,,,,,,61101,daily,05.15,키움,선발,승,1.29,26,7,4,0,0,2
임찬규,,,,,,,,,,61101,daily,05.21,롯데,선발,,9.64,25,4 2/3,11,0,2,0
임찬규,,,,,,,,,,61101,daily,05.27,한화,선발,승,1.29,26,7,5,0,2,0
임찬규,,,,,,,,,,61101,daily,06.01,삼성,선발,,5.40,23,5,7,0,1,0
송승기,2002년 04월 10일,181cm/90kg,,21 LG 2차 9라운드 87순위,13,투수(좌투좌타),,3600만원,,51111,info,,,,,,,,,,,
송승기,,,,,,,,,,51111,daily,03.27,한화,선발,,0.00,23,7,1,0,1,0
송승기,,,,,,,,,,51111,daily,04.04,KIA,선발,승,3.60,25,5,7,0,3,0
송승기,,,,,,,,,,51111,daily,04.11,두산,선발,,3.00,25,6,4,0,3,0
송승기,,,,,,,,,,51111,daily,04.17,삼성,선발,패,7.71,22,4 2/3,6,1,2,0
송승기,,,,,,,,,,51111,daily,04.23,NC,선발,승,0.00,22,6,0,0,3,0
