팀명,팀코드,등번호,선수명,선수ID,포지션,생년월일,신장/체중
LG 트윈스,LG,1,임찬규,61101,우투우타,1992-11-20,"185cm, 80kg"
LG 트윈스,LG,13,송승기,51111,좌투좌타,2002-04-10,"181cm, 90kg"
LG 트윈스,LG,20,우강훈,51526,우언우타,2002-10-03,"183cm, 88kg"
LG 트윈스,LG,21,이우찬,61145,좌투좌타,1992-08-04,"185cm, 97kg"
LG 트윈스,LG,29,손주영,67143,좌투좌타,1998-12-02,"191cm, 95kg"
LG 트윈스,LG,32,이지강,69108,우투우타,1999-07-02,"183cm, 85kg"
LG 트윈스,LG,34,성동현,68159,우투우타,1999-05-18,"189cm, 108kg"
LG 트윈스,LG,38,코엔 윈,55138,우투우타,1999-01-25,"193cm, 86kg"
LG 트윈스,LG,39,박명근,53139,우언우타,2004-03-27,"174cm, 75kg"
LG 트윈스,LG,42,김진성,75867,우투우타,1985-03-07,"186cm, 90kg"
LG 트윈스,LG,46,치리노스,55146,우투우타,1993-12-26,"188cm, 102kg"
한화 이글스,HH,1,문동주,52701,우투우타,2003-12-23,"188cm, 97kg"
한화 이글스,HH,26,한승혁,61666,우투좌타,1993-01-03,"185cm, 100kg"
한화 이글스,HH,29,황준서,54729,좌투좌타,2005-08-22,"185cm, 78kg"
한화 이글스,HH,30,폰세,55730,우투우타,1994-04-25,"198cm, 115kg"
한화 이글스,HH,38,김종수,63765,우투우타,1994-06-03,"180cm, 88kg"
한화 이글스,HH,43,정우주,55743,우투우타,2006-11-07,"184cm, 88kg"
한화 이글스,HH,44,김서현,53754,우투우타,2004-05-31,"188cm, 86kg"
한화 이글스,HH,47,김범수,65769,좌투좌타,1995-10-03,"181cm, 92kg"
한화 이글스,HH,55,와이스,54755,우투우타,1996-12-10,"193cm, 95kg"
한화 이글스,HH,58,박상원,67703,우투우타,1994-09-09,"187cm, 98kg"
한화 이글스,HH,66,주현상,65707,우투우타,1992-08-10,"177cm, 92kg"
한화 이글스,HH,68,조동욱,54768,좌투좌타,2004-11-02,"190cm, 82kg"
한화 이글스,HH,99,류현진,76715,좌투우타,1987-03-25,"190cm, 113kg"
롯데 자이언츠,LT,19,김강현,65522,우투좌타,1995-02-27,"177cm, 84kg"
롯데 자이언츠,LT,21,박세웅,64021,우투우타,1995-11-30,"182cm, 85kg"
롯데 자이언츠,LT,24,김상수,76430,우투우타,1988-01-02,"180cm, 88kg"
롯데 자이언츠,LT,34,김원중,62528,우투좌타,1993-06-14,"192cm, 96kg"
롯데 자이언츠,LT,36,데이비슨,55536,좌투좌타,1996-03-25,"188cm, 97kg"
롯데 자이언츠,LT,37,이민석,52530,우투우타,2003-12-10,"189cm, 95kg"
롯데 자이언츠,LT,38,홍민기,50596,좌투좌타,2001-07-20,"185cm, 85kg"
롯데 자이언츠,LT,43,나균안,67539,우투우타,1998-03-16,"186cm, 109kg"
롯데 자이언츠,LT,56,최준용,50556,우투우타,2001-10-10,"185cm, 85kg"
롯데 자이언츠,LT,57,정현수,54537,좌투좌타,2001-05-10,"180cm, 84kg"
롯데 자이언츠,LT,59,송재영,51594,좌투좌타,2002-06-20,"181cm, 84kg"
롯데 자이언츠,LT,65,정철원,68242,우투우타,1999-03-27,"192cm, 95kg"
롯데 자이언츠,LT,68,박세현,55568,우투우타,2006-01-21,"183cm, 88kg"
KIA 타이거즈,HT,11,조상우,63342,우투우타,1994-09-04,"186cm, 97kg"
KIA 타이거즈,HT,13,윤영철,53613,좌투좌타,2004-04-20,"187cm, 87kg"
KIA 타이거즈,HT,19,윤중현,68619,우언우타,1995-04-25,"180cm, 84kg"
KIA 타이거즈,HT,20,이준영,65665,좌투좌타,1992-08-10,"177cm, 85kg"
KIA 타이거즈,HT,32,김현수,69516,우투우타,2000-07-10,"185cm, 90kg"
KIA 타이거즈,HT,33,올러,55633,우투우타,1994-10-17,"193cm, 102kg"
KIA 타이거즈,HT,38,장재혁,50641,우투우타,2001-08-02,"180cm, 86kg"
KIA 타이거즈,HT,39,최지민,52639,좌투좌타,2003-09-10,"185cm, 100kg"
KIA 타이거즈,HT,40,네일,54640,우투우타,1993-02-08,"193cm, 83kg"
KIA 타이거즈,HT,51,전상현,66609,우투우타,1996-04-18,"182cm, 88kg"
KIA 타이거즈,HT,54,양현종,77637,좌투좌타,1988-03-01,"183cm, 91kg"
KIA 타이거즈,HT,60,김도현,69745,우투우타,2000-09-15,"183cm, 87kg"
KIA 타이거즈,HT,62,정해영,50662,우투우타,2001-08-23,"189cm, 98kg"
KIA 타이거즈,HT,65,성영탁,54610,우투우타,2004-07-28,"180cm, 89kg"
KIA 타이거즈,HT,42,김태군,78122,우투우타,1989-12-30,"182cm, 92kg"
KIA 타이거즈,HT,55,한준수,68646,우투좌타,1999-02-13,"184cm, 95kg"
KT 위즈,KT,1,고영표,64001,우언우타,1991-09-16,"187cm, 88kg"
KT 위즈,KT,12,우규민,73117,우언우타,1985-01-21,"184cm, 75kg"
KT 위즈,KT,18,문용익,67419,우투우타,1995-02-04,"178cm, 93kg"
KT 위즈,KT,26,김민수,65048,우투우타,1992-07-24,"188cm, 80kg"
KT 위즈,KT,32,쿠에바스,69032,우투양타,1990-10-14,"188cm, 98kg"
KT 위즈,KT,38,주권,65060,우투우타,1995-05-31,"181cm, 82kg"
KT 위즈,KT,41,손동현,69041,우투우타,2001-01-23,"183cm, 88kg"
KT 위즈,KT,43,김재원,55043,우투우타,2006-08-21,"190cm, 90kg"
KT 위즈,KT,47,오원석,50859,좌투좌타,2001-04-23,"182cm, 80kg"
KT 위즈,KT,60,박영현,52060,우투우타,2003-10-11,"183cm, 91kg"
KT 위즈,KT,63,원상현,54063,우투우타,2004-10-16,"183cm, 83kg"
KT 위즈,KT,65,헤이수스,54354,좌투좌타,1996-12-10,"192cm, 104kg"
KT 위즈,KT,22,장성우,78548,우투우타,1990-01-17,"187cm, 100kg"
KT 위즈,KT,42,조대현,68089,우투우타,1999-08-06,"183cm, 81kg"
KT 위즈,KT,50,강백호,68050,우투좌타,1999-07-29,"184cm, 98kg"
SSG 랜더스,SK,19,조병현,51897,우투우타,2002-05-08,"182cm, 90kg"
SSG 랜더스,SK,29,김광현,77829,좌투좌타,1988-07-22,"188cm, 88kg"
SSG 랜더스,SK,30,최민준,68856,우투우타,1999-06-11,"178cm, 83kg"
SSG 랜더스,SK,33,앤더슨,54833,우투우타,1994-03-22,"194cm, 83kg"
SSG 랜더스,SK,34,한두솔,68092,좌투좌타,1997-01-15,"177cm, 86kg"
SSG 랜더스,SK,38,노경은,73211,우투우타,1984-03-11,"187cm, 100kg"
SSG 랜더스,SK,39,김건우,51867,좌투좌타,2002-07-12,"185cm, 88kg"
SSG 랜더스,SK,40,최현석,54803,우투우타,2003-10-16,"185cm, 90kg"
SSG 랜더스,SK,41,김민,68043,우투우타,1999-04-14,"185cm, 88kg"
SSG 랜더스,SK,55,화이트,55855,우투우타,1994-12-28,"190cm, 95kg"
SSG 랜더스,SK,57,박시후,50812,좌투좌타,2001-05-10,"182cm, 88kg"
SSG 랜더스,SK,65,전영준,52809,우투우타,2002-04-16,"190cm, 100kg"
SSG 랜더스,SK,92,이로운,53892,우투우타,2004-09-11,"185cm, 105kg"
NC 다이노스,NC,3,라일리,55903,우투우타,1996-07-09,"190cm, 100kg"
NC 다이노스,NC,12,로건,55912,좌투좌타,1997-05-23,"186cm, 105kg"
NC 다이노스,NC,18,신민혁,68902,우투우타,1999-02-04,"184cm, 95kg"
NC 다이노스,NC,20,목지훈,53973,우투우타,2004-05-11,"181cm, 83kg"
NC 다이노스,NC,22,김녹원,52995,우투우타,2003-05-17,"182cm, 88kg"
