date,time,home_team,home_score,away_team,away_score,margin
2025-03-22,14:00,LG,12.0,롯데,2.0,10.0
2025-03-22,14:00,SSG,6.0,두산,5.0,1.0
2025-03-22,14:00,삼성,13.0,키움,5.0,8.0
2025-03-22,14:00,KT,4.0,한화,3.0,1.0
2025-03-22,14:00,KIA,9.0,NC,2.0,7.0
2025-03-23,14:00,LG,10.0,롯데,2.0,8.0
2025-03-23,14:00,SSG,5.0,두산,2.0,3.0
2025-03-23,14:00,삼성,11.0,키움,7.0,4.0
2025-03-23,14:00,KT,5.0,한화,4.0,1.0
2025-03-23,14:00,KIA,5.0,NC,4.0,1.0
2025-03-25,18:30,LG,5.0,한화,0.0,5.0
2025-03-25,18:30,SSG,3.0,롯데,2.0,1.0
2025-03-25,18:30,삼성,14.0,NC,5.0,9.0
2025-03-25,18:30,KT,8.0,두산,3.0,5.0
2025-03-25,18:30,KIA,11.0,키움,6.0,5.0
2025-03-26,18:30,LG,4.0,한화,0.0,4.0
2025-03-26,18:30,SSG,3.0,롯데,1.0,2.0
2025-03-26,18:30,삼성,8.0,NC,6.0,2.0
2025-03-26,18:30,KT,3.0,두산,2.0,1.0
2025-03-26,18:30,KIA,17.0,키움,10.0,7.0
2025-03-27,18:30,LG,2.0,한화,1.0,1.0
2025-03-27,18:30,SSG,5.0,롯데,2.0,3.0
2025-03-27,18:30,삼성,11.0,NC,5.0,6.0
2025-03-27,18:30,KT,4.0,두산,3.0,1.0
2025-03-27,18:30,KIA,5.0,키움,3.0,2.0
2025-03-28,18:30,두산,2.0,삼성,0.0,2.0
2025-03-28,18:30,롯데,2.0,KT,0.0,2.0
2025-03-28,18:30,NC,8.0,LG,4.0,4.0
2025-03-28,18:30,키움,9.0,SSG,3.0,6.0
2025-03-28,18:30,한화,7.0,KIA,2.0,5.0
2025-03-29,14:00,키움,3.0,SSG,1.0,2.0
2025-03-29,14:00,한화,5.0,KIA,4.0,1.0
2025-03-29,17:00,두산,13.0,삼성,2.0,11.0
2025-03-29,17:00,롯데,3.0,KT,1.0,2.0
2025-03-29,17:00,NC,14.0,LG,4.0,10.0
2025-03-30,14:00,두산,3.0,삼성,2.0,1.0
2025-03-30,14:00,롯데,,KT,,
2025-03-30,14:00,NC,,LG,,
2025-03-30,14:00,키움,8.0,SSG,2.0,6.0
2025-03-30,14:00,한화,5.0,KIA,3.0,2.0
2025-04-01,18:30,두산,,키움,,
2025-04-01,18:30,NC,,SSG,,
2025-04-01,18:30,KT,,LG,,
2025-04-01,18:30,KIA,,삼성,,
2025-04-01,18:30,한화,,롯데,,
2025-04-02,18:30,두산,5.0,키움,3.0,2.0
2025-04-02,18:30,NC,,SSG,,
2025-04-02,18:30,KT,9.0,LG,5.0,4.0
2025-04-02,18:30,KIA,4.0,삼성,2.0,2.0
2025-04-02,18:30,한화,6.0,롯데,2.0,4.0
2025-04-03,18:30,두산,6.0,키움,1.0,5.0
2025-04-03,18:30,NC,,SSG,,
2025-04-03,18:30,KT,5.0,LG,1.0,4.0
2025-04-03,18:30,KIA,3.0,삼성,1.0,2.0
2025-04-03,18:30,한화,4.0,롯데,2.0,2.0
2025-04-04,18:30,LG,8.0,KIA,2.0,6.0
2025-04-04,18:30,SSG,3.0,KT,2.0,1.0
2025-04-04,18:30,롯데,15.0,두산,3.0,12.0
2025-04-04,18:30,삼성,5.0,한화,0.0,5.0
2025-04-04,18:30,키움,5.0,NC,1.0,4.0
2025-04-05,14:00,LG,,KIA,,
2025-04-05,14:00,삼성,7.0,한화,6.0,1.0
2025-04-05,17:00,SSG,,KT,,
2025-04-05,17:00,롯데,6.0,두산,1.0,5.0
2025-04-05,17:00,키움,7.0,NC,5.0,2.0
2025-04-06,14:00,LG,5.0,KIA,1.0,4.0
2025-04-06,14:00,SSG,1.0,KT,0.0,1.0
2025-04-06,14:00,롯데,15.0,두산,12.0,3.0
2025-04-06,14:00,삼성,10.0,한화,0.0,10.0
2025-04-06,14:00,키움,8.0,NC,2.0,6.0
2025-04-08,18:30,두산,6.0,한화,5.0,1.0
2025-04-08,18:30,롯데,5.0,KIA,4.0,1.0
2025-04-08,18:30,삼성,7.0,SSG,3.0,4.0
2025-04-08,18:30,KT,3.0,NC,2.0,1.0
2025-04-08,18:30,키움,13.0,LG,1.0,12.0
2025-04-09,18:30,두산,5.0,한화,4.0,1.0
2025-04-09,18:30,롯데,3.0,KIA,1.0,2.0
2025-04-09,18:30,삼성,3.0,SSG,1.0,2.0
2025-04-09,18:30,KT,4.0,NC,1.0,3.0
